<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
04.09.2018;12:56:00;107000.0000000;107020.0000000;107000.0000000;107020.0000000
04.09.2018;12:57:00;106960.0000000;106960.0000000;106960.0000000;106960.0000000
04.09.2018;13:02:00;106930.0000000;106930.0000000;106930.0000000;106930.0000000
04.09.2018;13:03:00;106900.0000000;106900.0000000;106850.0000000;106850.0000000
04.09.2018;13:06:00;107000.0000000;107080.0000000;107000.0000000;107080.0000000
04.09.2018;13:11:00;107120.0000000;107120.0000000;107120.0000000;107120.0000000
04.09.2018;13:28:00;106950.0000000;106950.0000000;106920.0000000;106920.0000000
04.09.2018;13:32:00;107000.0000000;107000.0000000;107000.0000000;107000.0000000
04.09.2018;13:34:00;107000.0000000;107010.0000000;107000.0000000;107010.0000000
04.09.2018;13:38:00;107060.0000000;107060.0000000;107060.0000000;107060.0000000
04.09.2018;13:40:00;107070.0000000;107070.0000000;107070.0000000;107070.0000000
04.09.2018;13:41:00;107050.0000000;107050.0000000;107050.0000000;107050.0000000
04.09.2018;13:42:00;107020.0000000;107020.0000000;106850.0000000;106850.0000000
04.09.2018;13:44:00;106810.0000000;106860.0000000;106810.0000000;106850.0000000
04.09.2018;13:47:00;106990.0000000;107000.0000000;106990.0000000;107000.0000000
04.09.2018;13:48:00;107000.0000000;107000.0000000;107000.0000000;107000.0000000
04.09.2018;13:49:00;107000.0000000;107000.0000000;107000.0000000;107000.0000000
04.09.2018;13:56:00;107010.0000000;107010.0000000;107010.0000000;107010.0000000
04.09.2018;14:00:00;106900.0000000;106930.0000000;106900.0000000;106930.0000000
04.09.2018;14:09:00;106900.0000000;106930.0000000;106870.0000000;106930.0000000
04.09.2018;14:10:00;106930.0000000;106930.0000000;106930.0000000;106930.0000000
04.09.2018;14:14:00;106850.0000000;106850.0000000;106700.0000000;106700.0000000
04.09.2018;14:15:00;106700.0000000;106850.0000000;106700.0000000;106850.0000000
04.09.2018;14:22:00;106870.0000000;106870.0000000;106870.0000000;106870.0000000
04.09.2018;14:24:00;106810.0000000;106810.0000000;106760.0000000;106760.0000000
04.09.2018;14:25:00;106750.0000000;106750.0000000;106750.0000000;106750.0000000
04.09.2018;14:26:00;106740.0000000;106740.0000000;106740.0000000;106740.0000000
04.09.2018;14:27:00;106730.0000000;106730.0000000;106730.0000000;106730.0000000
04.09.2018;14:28:00;106700.0000000;106700.0000000;106700.0000000;106700.0000000
04.09.2018;14:29:00;106650.0000000;106670.0000000;106650.0000000;106670.0000000
04.09.2018;14:30:00;106700.0000000;106700.0000000;106700.0000000;106700.0000000
04.09.2018;14:32:00;106650.0000000;106670.0000000;106620.0000000;106670.0000000
04.09.2018;14:34:00;106730.0000000;106730.0000000;106730.0000000;106730.0000000
04.09.2018;14:44:00;106730.0000000;106730.0000000;106730.0000000;106730.0000000
04.09.2018;14:48:00;106710.0000000;106710.0000000;106700.0000000;106700.0000000
04.09.2018;14:56:00;106650.0000000;106670.0000000;106650.0000000;106670.0000000
04.09.2018;14:57:00;106600.0000000;106600.0000000;106590.0000000;106590.0000000
04.09.2018;14:58:00;106630.0000000;106630.0000000;106630.0000000;106630.0000000
04.09.2018;14:59:00;106590.0000000;106590.0000000;106590.0000000;106590.0000000
04.09.2018;15:06:00;106740.0000000;106740.0000000;106650.0000000;106650.0000000
04.09.2018;15:13:00;106650.0000000;106650.0000000;106650.0000000;106650.0000000
04.09.2018;15:15:00;106600.0000000;106600.0000000;106590.0000000;106590.0000000
04.09.2018;15:31:00;106750.0000000;106750.0000000;106750.0000000;106750.0000000
04.09.2018;15:39:00;106800.0000000;106800.0000000;106800.0000000;106800.0000000
04.09.2018;15:45:00;106850.0000000;106850.0000000;106850.0000000;106850.0000000
04.09.2018;15:48:00;106740.0000000;106740.0000000;106740.0000000;106740.0000000
04.09.2018;16:03:00;106800.0000000;106800.0000000;106800.0000000;106800.0000000
04.09.2018;16:07:00;106700.0000000;106700.0000000;106700.0000000;106700.0000000
04.09.2018;16:18:00;106700.0000000;106700.0000000;106700.0000000;106700.0000000
04.09.2018;16:25:00;106590.0000000;106590.0000000;106510.0000000;106550.0000000
04.09.2018;16:26:00;106500.0000000;106500.0000000;106500.0000000;106500.0000000
04.09.2018;16:29:00;106570.0000000;106570.0000000;106570.0000000;106570.0000000
04.09.2018;16:30:00;106540.0000000;106540.0000000;106540.0000000;106540.0000000
04.09.2018;16:31:00;106500.0000000;106500.0000000;106480.0000000;106480.0000000
04.09.2018;16:32:00;106430.0000000;106440.0000000;106430.0000000;106440.0000000
04.09.2018;16:33:00;106500.0000000;106500.0000000;106500.0000000;106500.0000000
04.09.2018;16:37:00;106540.0000000;106540.0000000;106500.0000000;106500.0000000
04.09.2018;16:38:00;106470.0000000;106470.0000000;106470.0000000;106470.0000000
04.09.2018;16:39:00;106460.0000000;106470.0000000;106460.0000000;106460.0000000
04.09.2018;16:40:00;106460.0000000;106460.0000000;106460.0000000;106460.0000000
04.09.2018;16:41:00;106400.0000000;106400.0000000;106400.0000000;106400.0000000
04.09.2018;16:42:00;106450.0000000;106450.0000000;106450.0000000;106450.0000000
04.09.2018;16:48:00;106480.0000000;106480.0000000;106480.0000000;106480.0000000
04.09.2018;16:50:00;106500.0000000;106500.0000000;106500.0000000;106500.0000000
04.09.2018;16:52:00;106410.0000000;106410.0000000;106410.0000000;106410.0000000
04.09.2018;16:53:00;106400.0000000;106400.0000000;106400.0000000;106400.0000000
04.09.2018;16:54:00;106400.0000000;106400.0000000;106400.0000000;106400.0000000
04.09.2018;17:00:00;106550.0000000;106550.0000000;106550.0000000;106550.0000000
04.09.2018;17:02:00;106550.0000000;106550.0000000;106500.0000000;106500.0000000
04.09.2018;17:09:00;106700.0000000;106700.0000000;106700.0000000;106700.0000000
04.09.2018;17:10:00;106700.0000000;106700.0000000;106700.0000000;106700.0000000
04.09.2018;17:11:00;106700.0000000;106700.0000000;106700.0000000;106700.0000000
04.09.2018;17:17:00;106780.0000000;106790.0000000;106780.0000000;106790.0000000
04.09.2018;17:19:00;106650.0000000;106650.0000000;106650.0000000;106650.0000000
04.09.2018;17:20:00;106650.0000000;106680.0000000;106650.0000000;106680.0000000
04.09.2018;17:23:00;106850.0000000;106850.0000000;106850.0000000;106850.0000000
04.09.2018;17:24:00;106870.0000000;106990.0000000;106870.0000000;106990.0000000
04.09.2018;17:25:00;107000.0000000;107040.0000000;107000.0000000;107020.0000000
04.09.2018;17:26:00;107000.0000000;107000.0000000;107000.0000000;107000.0000000
04.09.2018;17:29:00;106900.0000000;106900.0000000;106900.0000000;106900.0000000
04.09.2018;17:30:00;106900.0000000;106900.0000000;106900.0000000;106900.0000000
04.09.2018;17:32:00;106950.0000000;106950.0000000;106950.0000000;106950.0000000
04.09.2018;17:33:00;106990.0000000;107000.0000000;106990.0000000;107000.0000000
04.09.2018;17:38:00;106850.0000000;106850.0000000;106850.0000000;106850.0000000
04.09.2018;17:41:00;106750.0000000;106750.0000000;106750.0000000;106750.0000000
04.09.2018;17:46:00;106740.0000000;106740.0000000;106700.0000000;106700.0000000
04.09.2018;17:47:00;106830.0000000;106830.0000000;106830.0000000;106830.0000000
04.09.2018;17:50:00;106850.0000000;106850.0000000;106850.0000000;106850.0000000
04.09.2018;17:53:00;106840.0000000;106840.0000000;106840.0000000;106840.0000000
04.09.2018;17:57:00;107000.0000000;107000.0000000;106970.0000000;106970.0000000
04.09.2018;17:59:00;107070.0000000;107070.0000000;107070.0000000;107070.0000000
04.09.2018;18:00:00;107020.0000000;107020.0000000;107020.0000000;107020.0000000
04.09.2018;18:01:00;107090.0000000;107090.0000000;107080.0000000;107080.0000000
04.09.2018;18:02:00;106980.0000000;106980.0000000;106980.0000000;106980.0000000
04.09.2018;18:11:00;106900.0000000;106900.0000000;106900.0000000;106900.0000000
04.09.2018;18:14:00;106850.0000000;106850.0000000;106850.0000000;106850.0000000
04.09.2018;18:15:00;106880.0000000;106880.0000000;106810.0000000;106810.0000000
04.09.2018;18:22:00;106770.0000000;106770.0000000;106770.0000000;106770.0000000
04.09.2018;18:24:00;106840.0000000;106860.0000000;106840.0000000;106860.0000000
04.09.2018;18:25:00;106930.0000000;107000.0000000;106930.0000000;107000.0000000
04.09.2018;18:29:00;106960.0000000;106960.0000000;106960.0000000;106960.0000000
04.09.2018;18:36:00;106930.0000000;106930.0000000;106880.0000000;106880.0000000
04.09.2018;18:40:00;106900.0000000;106900.0000000;106900.0000000;106900.0000000
04.09.2018;18:42:00;106850.0000000;106950.0000000;106850.0000000;106950.0000000
04.09.2018;18:44:00;106950.0000000;106950.0000000;106950.0000000;106950.0000000
04.09.2018;19:04:00;106940.0000000;106940.0000000;106940.0000000;106940.0000000
04.09.2018;19:07:00;106820.0000000;106880.0000000;106820.0000000;106880.0000000
04.09.2018;19:10:00;106890.0000000;106890.0000000;106890.0000000;106890.0000000
04.09.2018;19:42:00;106920.0000000;106920.0000000;106920.0000000;106920.0000000
04.09.2018;19:43:00;106890.0000000;106890.0000000;106890.0000000;106890.0000000
04.09.2018;19:45:00;106950.0000000;106950.0000000;106950.0000000;106950.0000000
04.09.2018;20:02:00;107000.0000000;107000.0000000;107000.0000000;107000.0000000
04.09.2018;20:06:00;106990.0000000;106990.0000000;106990.0000000;106990.0000000
04.09.2018;20:17:00;106950.0000000;106950.0000000;106950.0000000;106950.0000000
04.09.2018;20:20:00;106860.0000000;106860.0000000;106860.0000000;106860.0000000
04.09.2018;20:27:00;106910.0000000;106910.0000000;106910.0000000;106910.0000000
04.09.2018;20:40:00;106950.0000000;106950.0000000;106950.0000000;106950.0000000
